univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000263769700019	5	0	0	1
leiden univ	000372455700002	3	0	0	3
leiden univ	000401803400009	12	0	0	5
tu delft	000340850300004	4	4	0	0
leiden univ	000289195400204	11	0	0	4
tu delft	000271776100037	4	4	0	0
tu delft	000372223100002	4	1	0	0
leiden univ	000289556300023	10	0	0	7
leiden univ	000268613700075	2	0	0	2
leiden univ	000360015900027	2	0	0	1
tu delft	000399306200007	6	1	0	0
leiden univ	000303476100011	5	0	0	5
leiden univ	000283102800011	7	0	0	2
leiden univ	000397300300026	25	0	0	2
tu delft	000383754600016	12	2	0	0
leiden univ	000332339600016	10	0	0	3
tu delft	000293516200003	5	5	0	0
leiden univ	000292977600051	5	0	0	3
leiden univ	000311713200018	30	0	0	17
leiden univ	000327562900007	10	0	0	3
tu delft	000269079500004	5	4	0	0
leiden univ	000284602400011	2	0	0	2
tu delft	000343897300011	2	1	0	0
tu delft	000379041400070	10	3	0	0
leiden univ	000263911100012	4	0	0	1
leiden univ	000277125200013	2	0	0	1
leiden univ	000298807900005	2	0	0	2
leiden univ	000270873700004	5	0	0	5
leiden univ	000267318700007	9	0	0	9
leiden univ	000388930800005	8	0	0	5
tu delft	000305479800009	4	4	0	0
leiden univ	000317627800022	49	0	0	1
leiden univ	000339326000001	3	0	0	2
tu delft	000367186000058	7	3	0	0
tu delft	000324028700006	2	2	0	0
tu delft	000308972600010	4	3	0	0
leiden univ	000345232200012	6	0	0	1
tu delft	000368222100016	7	0	0	0
tu delft	000314735000001	5	1	0	0
tu delft	000309296900014	3	3	0	0
leiden univ	000309754300661	7	0	0	1
tu delft	000293117100012	2	2	0	0
leiden univ	000296881500007	2	0	0	2
tu delft	000275989900002	2	2	0	0
leiden univ	000328417900254	7	0	0	2
leiden univ	000364340000001	7	0	0	1
leiden univ	000261589300033	1	0	0	1
tu delft	000263991000015	3	1	0	0
leiden univ	000343669200001	3	0	0	2
tu delft	000337804700008	2	2	0	0
tu delft	000353233300006	4	4	0	0
tu delft	000368459300008	7	1	0	0
leiden univ	000384818801043	13	0	0	1
leiden univ	000322028300003	3	0	0	2
leiden univ	000258279100008	3	0	0	1
tu delft	000342678900019	4	4	0	0
leiden univ	000350452200834	12	0	0	1
tu delft	000283463600016	4	3	0	0
leiden univ	000306862700014	1	0	0	1
leiden univ	000305256000034	6	0	0	2
leiden univ	000324168500018	7	0	0	7
tu delft	000263272300012	4	1	0	0
tu delft	000312324500031	10	3	0	0
leiden univ	000301053800033	5	0	0	5
leiden univ	000303599300007	12	0	0	2
leiden univ	000385011800007	3	0	0	3
tu delft	000348306000001	2	1	0	0
leiden univ	000293384000014	3	0	0	3
leiden univ	000362510600114	10	0	0	10
leiden univ	000308012404631	10	0	0	2
tu delft	000255437900003	4	1	0	0
lumc	000294869600298	5	0	0	1
leiden univ	000292740500035	2	0	0	1
tu delft	000281006200034	4	2	0	0
leiden univ	000271476400025	5	0	0	1
leiden univ	000402543100006	2	0	0	2
leiden univ	000330528200025	6	0	0	6
