univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000385338200015	20	0	0	7
leiden univ	000282506600007	2	0	0	1
leiden univ	000365837900010	2	0	0	1
tu delft	000288873401340	4	1	0	0
tu delft	000373587200004	3	2	0	0
leiden univ	000287417900013	9	0	0	9
tu delft	000410006200072	7	2	0	0
leiden univ	000314876400027	10	0	0	6
leiden univ	000300417100010	14	0	0	13
tu delft	000365855500014	6	4	0	0
leiden univ	000377619800013	6	0	0	6
leiden univ	000354900700016	4	0	0	1
tu delft	000297636300001	7	1	0	0
leiden univ	000389517300009	2	0	0	1
leiden univ	000321403100016	1	0	0	1
leiden univ	000256449700005	6	1	0	0
tu delft	000293895100097	5	1	0	1
leiden univ	000289488500019	1	0	0	1
leiden univ	000413720401536	1	0	0	1
leiden univ	000289380800006	1	0	0	1
tu delft	000293658600003	4	2	0	0
leiden univ	000371707300005	4	0	0	4
tu delft	000271734700003	3	2	0	0
leiden univ	000340786600014	7	0	0	2
leiden univ	000413181403172	8	0	0	1
leiden univ	000300267400028	4	0	0	1
leiden univ	000346788000011	4	0	0	1
tu delft	000418783800083	4	1	0	0
leiden univ	000338213400096	6	0	0	5
leiden univ	000379049100007	7	0	0	7
tu delft	000348374000012	2	2	0	0
tu delft	000272224400006	4	3	0	0
tu delft	000260125500030	6	5	0	0
leiden univ	000277727200002	3	0	0	1
leiden univ	000390025400031	15	0	0	1
tu delft	000296041000007	5	2	0	0
leiden univ	000271831500230	11	0	0	9
leiden univ	000208702605134	7	0	0	7
leiden univ	000281720500005	12	0	0	6
leiden univ	000208868200280	1	0	0	1
tu delft	000316673600033	5	1	0	0
tu delft	000334089400005	4	0	0	0
tu delft	000372013900024	4	1	0	0
leiden univ	000326193800002	10	0	0	1
tu delft	000379331500026	4	2	0	0
leiden univ	000269589600314	5	0	0	1
leiden univ	000263157400014	3	0	0	1
leiden univ	000337572300010	3	0	0	3
leiden univ	000256518100022	24	0	0	1
tu delft	000298052000031	2	2	0	0
leiden univ	000299426000002	6	0	0	0
leiden univ	000364513700377	9	0	0	1
leiden univ	000351632900180	22	0	0	1
lumc	000282335300005	7	0	0	7
tu delft	000413811400001	6	6	0	0
leiden univ	000402342500075	3	0	0	0
leiden univ	000316587300013	15	0	0	2
leiden univ	000400476100006	5	0	0	2
tu delft	000349805900002	4	1	0	0
leiden univ	000276141200001	1	0	0	0
tu delft	000276674600007	8	2	0	0
lumc	000302625400012	17	0	0	1
leiden univ	000335832300003	4	1	0	3
leiden univ	000314161700011	3	0	0	1
leiden univ	000368351500027	10	0	0	1
tu delft	000259986900011	3	3	0	0
leiden univ	000341443300010	5	0	0	4
tu delft	000340938200008	2	1	0	0
leiden univ	000284202200056	7	0	0	3
tu delft	000280205800005	3	3	0	0
tu delft	000266057400011	5	5	0	0
tu delft	000337000401063	5	5	0	0
leiden univ	000302560200026	10	3	0	3
tu delft	000337651300007	5	3	0	0
tu delft	000400763800008	4	4	0	0
leiden univ	000313243500001	6	0	0	1
leiden univ	000400068300007	4	0	0	4
leiden univ	000300705600001	5	0	0	3
tu delft	000296612900003	2	1	0	0
leiden univ	000422617500082	6	0	0	3
leiden univ	000307641100006	84	0	0	2
lumc	000215799100304	9	0	0	4
lumc	000411861000171	6	0	0	1
leiden univ	000403230900022	2	0	0	2
leiden univ	000305491300013	1	0	0	1
tu delft	000262333600023	8	8	0	0
leiden univ	000303017700026	34	0	0	3
tu delft	000293416300013	4	2	0	0
leiden univ	000305336300022	6	0	0	1
tu delft	000386747600004	7	5	0	0
tu delft	000343116800019	4	4	0	0
lumc	000342235800008	7	0	0	2
leiden univ	000411824101189	8	0	0	2
leiden univ	000417143401097	8	0	0	2
leiden univ	000334085600011	6	0	0	1
leiden univ	000388573500030	24	0	0	1
tu delft	000357228900014	3	3	0	0
tu delft	000287829000007	2	2	0	0
leiden univ	000264398200018	5	0	0	1
tu delft	000384875600015	4	3	0	0
tu delft	000265823300069	6	3	0	0
leiden univ	000215799104333	6	0	0	1
tu delft	000349325000004	12	7	0	0
tu delft	000345239000005	4	3	0	0
tu delft	000416492300006	5	1	0	0
tu delft	000321725100021	5	1	0	0
tu delft	000349771400008	6	2	0	0
leiden univ	000307125400029	3	0	0	1
leiden univ	000353889600164	9	0	0	1
leiden univ	000289879800531	3	0	0	2
leiden univ	000268507400018	5	0	0	3
leiden univ	000318840100028	2	0	0	2
tu delft	000263585000013	3	1	0	0
leiden univ	000327219300001	5	0	0	1
leiden univ	000308843900007	1	0	0	1
leiden univ	000328292800003	11	0	0	2
leiden univ	000298042800002	5	0	0	3
leiden univ	000358120100001	7	0	0	5
leiden univ	000333337100077	7	0	0	4
leiden univ	000208724400051	4	0	0	4
leiden univ	000358925100008	9	0	0	5
leiden univ	000270489901233	4	0	0	2
leiden univ	000371360900018	2	0	0	2
leiden univ	000386668200008	3	0	0	3
leiden univ	000281190300003	3	0	0	1
lumc	000314095700008	6	0	0	4
leiden univ	000304305300001	18	0	0	1
leiden univ	000360116900033	11	0	0	7
leiden univ	000292770300037	7	0	0	2
tu delft	000400580400017	47	4	0	1
leiden univ	000271831504225	8	0	0	7
leiden univ	000294204900045	54	0	0	1
leiden univ	000351086000023	6	0	0	1
leiden univ	000342411000454	7	0	0	3
tu delft	000408884300030	9	1	0	0
leiden univ	000375699000015	10	0	0	8
tu delft	000254443700035	2	1	0	0
leiden univ	000373357600066	17	0	0	1
leiden univ	000342870200009	11	0	0	6
leiden univ	000318009800873	20	0	0	2
leiden univ	000262104500479	10	0	0	7
tu delft	000264243400007	10	2	0	0
leiden univ	000320210400026	1	0	0	1
leiden univ	000400189700006	10	0	0	8
lumc	000359941900076	10	0	0	1
lumc	000316019500005	6	0	0	2
leiden univ	000281527200087	61	0	0	6
leiden univ	000355345600053	2	0	0	1
leiden univ	000329046500006	5	0	0	5
tu delft	000351297100007	3	2	0	0
leiden univ	000266536300005	46	0	0	1
tu delft	000261170500025	1	1	0	0
tu delft	000358603100015	6	3	0	0
tu delft	000326455100105	8	8	0	0
leiden univ	000349582500012	2	0	0	1
tu delft	000382804500020	3	1	0	0
leiden univ	000279583800003	12	0	0	1
leiden univ	000346248400045	20	0	0	14
tu delft	000273860400106	4	4	0	0
leiden univ	000381131900002	24	0	0	5
leiden univ	000279051301090	15	0	0	2
tu delft	000336647500001	6	3	0	1
leiden univ	000287965400014	58	0	0	1
tu delft	000284754200001	3	2	0	0
tu delft	000292410500007	3	3	0	0
leiden univ	000332792500005	5	0	0	0
leiden univ	000299448500012	4	3	0	1
leiden univ	000294096100078	9	0	0	1
leiden univ	000370458500043	4	0	0	3
leiden univ	000254358600035	5	0	0	4
leiden univ	000335620900013	4	0	0	4
tu delft	000280243600008	1	1	0	0
tu delft	000295344600008	3	1	0	0
leiden univ	000271831500062	14	0	0	13
lumc	000260245000164	12	0	0	9
leiden univ	000281941200003	1	0	0	1
leiden univ	000261865100012	4	0	0	2
leiden univ	000259215600003	8	0	0	1
lumc	000355271400007	5	0	0	2
leiden univ	000308679700005	6	0	0	2
tu delft	000411557600001	4	1	0	0
leiden univ	000416025100016	2	0	0	2
leiden univ	000301505600034	6	0	0	2
leiden univ	000275215100002	3	0	0	0
tu delft	000254539900069	3	2	0	0
leiden univ	000281085400007	7	0	0	1
leiden univ	000356426901263	14	0	0	1
leiden univ	000279441500012	8	0	0	1
leiden univ	000280980300020	4	0	0	3
leiden univ	000258915900002	11	0	0	10
tu delft	000408914800017	5	5	0	0
leiden univ	000294806600006	1	0	0	1
leiden univ	000373744500006	2	0	0	2
leiden univ	000316633100004	9	0	0	9
leiden univ	000334095700032	1	0	0	1
tu delft	000367253400002	5	1	0	0
tu delft	000362676400016	10	10	0	0
tu delft	000267825200004	5	5	0	0
leiden univ	000348374200015	8	0	0	8
tu delft	000373398300011	3	1	0	0
tu delft	000270542400020	5	2	0	0
tu delft	000266577000003	4	1	0	0
lumc	000375328800530	5	0	0	5
leiden univ	000330815300030	6	0	0	6
tu delft	000404141400010	4	3	0	0
leiden univ	000257924500025	7	0	0	6
tu delft	000293272500007	3	3	0	0
leiden univ	000371239300002	4	0	0	3
tu delft	000407836600001	8	1	0	0
tu delft	000255508400036	2	0	0	0
leiden univ	000280668000004	9	0	0	4
leiden univ	000392816800005	2	0	0	2
leiden univ	000300376400021	12	0	0	1
leiden univ	000320196700003	3	0	0	3
tu delft	000376879300016	4	1	0	0
leiden univ	000411801600025	11	0	0	3
tu delft	000392768600005	3	1	0	0
leiden univ	000363306700006	12	0	0	1
tu delft	000352636100010	7	6	0	0
leiden univ	000284701300007	2	0	0	1
leiden univ	000366114000020	9	0	0	9
leiden univ	000254786400018	4	0	0	1
leiden univ	000291748800087	10	0	0	8
leiden univ	000297963600014	10	1	1	7
leiden univ	000340936900010	2	1	0	1
leiden univ	000290227400042	9	1	0	7
tu delft	000390074500012	2	1	0	0
tu delft	000261910800004	2	2	0	0
leiden univ	000289662201238	6	0	0	2
tu delft	000265839000022	3	3	0	0
tu delft	000270978500004	2	1	0	0
leiden univ	000363479800016	9	0	0	6
leiden univ	000331366900015	7	1	0	6
leiden univ	000348578700290	8	0	0	8
leiden univ	000276794600068	2	0	0	1
leiden univ	000305339900021	15	0	0	15
leiden univ	000340298200010	3	0	0	2
tu delft	000401881300016	4	2	0	0
leiden univ	000392921800017	11	0	0	5
tu delft	000376380000022	4	1	0	0
leiden univ	000368277900025	4	0	0	1
leiden univ	000322679600006	11	0	0	8
leiden univ	000272588500005	6	0	0	4
tu delft	000345830800010	2	1	0	0
leiden univ	000362494200010	1	0	0	1
leiden univ	000293049500012	7	0	0	7
leiden univ	000287854500002	4	0	0	1
leiden univ	000302861300055	11	0	0	1
leiden univ	000347127200036	3	0	0	2
leiden univ	000377125700017	7	0	0	1
tu delft	000253868400004	11	3	0	0
leiden univ	000345687700007	7	0	0	7
leiden univ	000305095400014	15	0	0	6
lumc	000339736800004	4	0	0	0
tu delft	000369749500017	5	3	0	0
tu delft	000262924300012	6	1	0	0
tu delft	000340070100018	87	0	0	17
lumc	000383380500005	18	0	0	3
leiden univ	000383487500001	3	0	0	2
tu delft	000305924700006	4	1	0	0
leiden univ	000337671000020	1	0	0	1
tu delft	000409349400024	6	3	0	0
leiden univ	000313455200001	1	0	0	1
leiden univ	000331587902181	19	0	0	1
tu delft	000274338800052	6	5	0	0
leiden univ	000318228400083	24	1	0	1
tu delft	000378449500033	5	2	0	0
leiden univ	000375063000047	6	0	0	2
tu delft	000260910900049	6	0	0	0
leiden univ	000310592200005	5	0	0	5
leiden univ	000208992800157	11	0	0	1
leiden univ	000266291600008	1	0	0	1
leiden univ	000298408600024	8	0	0	2
leiden univ	000208710800003	15	0	0	1
leiden univ	000294593800001	1	0	0	1
leiden univ	000380343500001	5	0	0	1
lumc	000262583200028	6	0	0	3
leiden univ	000372909600005	7	0	0	7
tu delft	000354139400006	3	1	0	0
tu delft	000326891200011	5	5	0	0
tu delft	000266387900052	3	1	0	0
leiden univ	000359951900016	14	0	0	1
leiden univ	000276575000004	2	0	0	1
leiden univ	000398568302451	6	0	0	6
leiden univ	000350182900011	4	0	0	1
leiden univ	000260025800003	3	0	0	1
tu delft	000405489600007	2	2	0	0
leiden univ	000400347200001	18	0	0	2
leiden univ	000353408100001	1	0	0	1
leiden univ	000275726900013	12	0	0	3
leiden univ	000272020200008	1	0	0	1
leiden univ	000334160900035	10	0	0	2
leiden univ	000296783400024	38	0	0	1
tu delft	000399116400009	5	3	0	0
leiden univ	000289249000178	5	0	0	1
leiden univ	000285712400015	19	0	0	6
leiden univ	000411824106460	22	0	0	1
leiden univ	000422942400007	13	0	0	2
tu delft	000347303400025	6	4	0	0
tu delft	000415738800006	3	3	0	0
leiden univ	000264162800026	4	0	0	1
leiden univ	000346472900008	1	0	0	1
leiden univ	000264362400158	6	0	0	1
leiden univ	000301318900016	4	0	0	4
leiden univ	000358945200064	6	0	0	1
leiden univ	000255652200001	3	0	0	1
tu delft	000300768200022	4	1	0	0
tu delft	000402740900006	11	1	0	0
leiden univ	000393728600007	2	0	0	2
tu delft	000393002800023	3	1	0	0
leiden univ	000209496900083	23	0	0	13
leiden univ	000358386900015	10	0	0	1
leiden univ	000384739200045	3	0	0	2
leiden univ	000255861500013	2	0	0	0
leiden univ	000359941900070	24	0	0	1
leiden univ	000321461200067	6	0	0	2
lumc	000208992801088	6	0	1	5
tu delft	000375631100016	9	3	0	0
leiden univ	000352827300006	11	0	0	11
leiden univ	000342581200083	5	0	0	2
leiden univ	000321684500004	7	0	0	2
tu delft	000348578300001	8	1	0	0
leiden univ	000394985400005	5	0	0	0
tu delft	000321405300005	5	2	0	0
tu delft	000289788900014	3	1	0	0
leiden univ	000376388200374	9	0	0	2
tu delft	000392075200043	15	1	0	0
leiden univ	000384727900001	6	0	0	1
leiden univ	000282158300229	6	0	0	2
tu delft	000349575700001	4	2	0	0
tu delft	000304524400009	3	1	0	0
tu delft	000407524500010	3	2	0	0
leiden univ	000334029000003	3	0	0	1
tu delft	000259735700031	8	4	0	0
tu delft	000300091600012	1	1	0	0
tu delft	000363978700004	3	3	0	0
tu delft	000402510700008	9	9	0	0
leiden univ	000332161800125	33	0	0	1
tu delft	000254598400008	3	1	0	0
lumc	000331822100019	30	0	0	2
leiden univ	000361887400585	13	0	0	5
tu delft	000355560800005	5	3	0	0
tu delft	000333001500022	10	3	0	0
tu delft	000301910400011	4	4	0	0
leiden univ	000291358900664	5	0	0	2
leiden univ	000266198600413	5	0	0	1
leiden univ	000287894400004	6	0	0	1
leiden univ	000208702706464	10	0	0	5
tu delft	000340013200018	7	2	0	0
tu delft	000311352900025	5	1	0	0
leiden univ	000398677500029	3	0	0	1
leiden univ	000308897200174	5	0	0	1
leiden univ	000349154100002	5	0	0	5
tu delft	000344160900005	6	1	0	0
tu delft	000299368300006	10	1	0	0
leiden univ	000338274600004	9	0	0	4
leiden univ	000377146700023	6	1	0	4
tu delft	000385473700013	2	2	0	0
leiden univ	000394089700002	1	0	0	1
leiden univ	000336516800006	6	0	0	6
leiden univ	000257729300004	4	0	0	1
leiden univ	000273308700023	4	0	0	4
leiden univ	000307152900002	5	0	0	2
leiden univ	000251794100002	24	0	0	4
leiden univ	000280115000019	11	0	0	2
leiden univ	000313115000019	7	0	0	0
leiden univ	000406943600058	7	0	0	5
leiden univ	000281859600024	8	0	0	8
leiden univ	000384171400020	2	0	0	1
leiden univ	000397668400009	6	0	0	0
leiden univ	000280130800004	1	0	0	1
leiden univ	000299066500001	43	1	0	1
tu delft	000283940100020	3	1	0	0
leiden univ	000413822300001	2	0	0	2
leiden univ	000263777700007	4	0	0	3
leiden univ	000342830901176	24	0	0	3
leiden univ	000356426905477	7	0	0	5
leiden univ	000383927800196	10	0	0	1
tu delft	000320295800014	3	3	0	0
leiden univ	000365799900025	8	0	0	1
tu delft	000350213100021	4	1	0	0
tu delft	000390293500010	3	2	0	0
tu delft	000410658800062	3	2	0	0
leiden univ	000300082900002	2	0	0	2
leiden univ	000361470506008	7	0	0	3
lumc	000413599900497	5	0	0	4
leiden univ	000298119600013	17	0	0	4
leiden univ	000309259600151	4	0	0	3
leiden univ	000264307400014	8	0	0	2
leiden univ	000345707700004	1	0	0	1
tu delft	000355063900032	6	1	0	0
tu delft	000276579900012	6	1	0	0
leiden univ	000344006900187	3	0	0	3
leiden univ	000339463100057	12	0	0	2
leiden univ	000404085900002	6	1	0	0
leiden univ	000383406100001	3	0	0	1
leiden univ	000366193900004	13	0	0	2
tu delft	000349688800158	3	1	0	0
tu delft	000397820300004	3	3	0	0
leiden univ	000340012600005	1	0	0	1
leiden univ	000304500500004	1	0	0	1
tu delft	000257575900009	3	1	0	0
leiden univ	000343420500012	8	0	0	1
lumc	000295514800004	9	0	0	6
leiden univ	000269210400009	5	0	0	4
tu delft	000372564600003	4	1	0	0
tu delft	000267516800022	4	3	0	0
tu delft	000367918800001	2	2	0	0
leiden univ	000354621700027	5	0	0	5
leiden univ	000277231100001	2	0	0	1
leiden univ	000280758200007	2	0	0	1
leiden univ	000392128000036	8	4	0	2
tu delft	000264012700001	3	2	0	0
tu delft	000306349000005	6	1	0	0
leiden univ	000306954700008	2	0	0	1
leiden univ	000323426700019	163	0	0	3
leiden univ	000383161900003	5	0	0	1
tu delft	000356521100005	7	3	0	0
tu delft	000258166800033	5	2	0	0
leiden univ	000349307200001	2	0	0	2
tu delft	000272722300031	6	2	0	0
leiden univ	000358878300001	7	0	0	1
leiden univ	000361971900124	11	0	0	1
leiden univ	000338757700020	1	0	0	1
leiden univ	000343697900008	1	0	0	1
tu delft	000402525700006	2	2	0	0
leiden univ	000297859100048	4	0	0	4
leiden univ	000281055700022	5	0	0	1
leiden univ	000308492000012	8	0	0	5
leiden univ	000335007700001	19	0	0	1
tu delft	000272917000039	2	1	0	0
leiden univ	000299036100017	4	0	0	1
leiden univ	000266284500045	7	0	0	4
tu delft	000381238500044	4	3	0	0
tu delft	000374404300003	3	2	0	0
leiden univ	000309433500005	4	0	0	1
tu delft	000278599400010	2	2	0	0
leiden univ	000400477500004	3	0	0	3
tu delft	000269351300001	1	0	0	0
tu delft	000253237900083	2	2	0	0
leiden univ	000316252500073	10	0	0	7
leiden univ	000368354600004	11	0	0	3
leiden univ	000344863100073	6	0	0	1
tu delft	000323512300024	3	1	0	0
tu delft	000383576600015	5	2	0	0
tu delft	000269118200009	3	1	0	0
leiden univ	000252811000005	2	0	0	2
leiden univ	000344671900022	177	0	0	2
leiden univ	000285252900015	28	0	0	1
leiden univ	000263429500003	9	0	0	1
leiden univ	000260090300025	2	0	0	0
leiden univ	000361759800001	6	0	0	1
tu delft	000351362200021	9	2	0	0
leiden univ	000274132700018	8	0	0	2
leiden univ	000283056400013	11	0	0	6
leiden univ	000286740500003	3	0	0	3
leiden univ	000257469200002	1	0	0	0
leiden univ	000365891600014	2	0	0	1
tu delft	000299367500008	6	1	0	0
leiden univ	000377992400004	8	0	0	3
leiden univ	000265011400019	3	0	0	1
lumc	000343633200105	7	0	0	2
leiden univ	000386555000003	5	0	0	5
leiden univ	000259090800038	93	0	0	1
tu delft	000300921700007	5	1	0	0
leiden univ	000331524800006	2	0	0	2
leiden univ	000209701803483	10	0	0	2
leiden univ	000405908600002	5	0	0	3
leiden univ	000314138700012	6	0	0	6
leiden univ	000331382100006	7	0	0	5
tu delft	000320276100015	5	5	0	0
tu delft	000359972200031	6	1	0	0
tu delft	000325666200010	6	3	0	0
leiden univ	000272555300015	10	0	0	10
tu delft	000331487000008	7	1	0	0
leiden univ	000412439400015	1	0	0	1
leiden univ	000314890500045	1	0	0	1
leiden univ	000207952400247	2	0	0	2
tu delft	000408279000034	25	14	0	0
leiden univ	000416978600008	14	0	0	1
tu delft	000268137100003	4	3	0	0
leiden univ	000415152503197	19	0	0	1
leiden univ	000353841100015	12	0	0	1
leiden univ	000341301700040	13	0	0	1
tu delft	000373586600001	7	6	0	0
leiden univ	000344384902060	12	0	0	1
tu delft	000406542000002	4	4	0	0
leiden univ	000326184400020	7	0	0	1
leiden univ	000336079800009	30	0	0	1
leiden univ	000262240300016	3	1	0	0
tu delft	000417973300053	5	5	0	0
leiden univ	000279012000004	15	0	0	2
leiden univ	000398284600049	1	0	0	0
tu delft	000306976200005	4	3	0	0
tu delft	000335902200086	6	2	0	3
leiden univ	000381711100057	59	0	0	2
leiden univ	000303074500018	4	0	0	2
lumc	000298763900003	1	0	0	1
leiden univ	000297400300005	18	0	0	1
leiden univ	000290032900004	1	0	0	1
tu delft	000347507100017	3	3	0	0
tu delft	000374383800012	13	1	0	0
leiden univ	000331155400086	7	0	0	5
leiden univ	000277356700059	10	0	0	4
lumc	000288715301470	6	0	0	1
leiden univ	000288728400022	7	0	0	6
tu delft	000378509200044	1	1	0	0
tu delft	000331358300010	4	1	0	0
leiden univ	000344472000001	1	0	0	1
tu delft	000304517100013	4	4	0	0
leiden univ	000401523101139	15	0	0	1
leiden univ	000264011700001	11	0	0	1
leiden univ	000362891105257	9	0	0	9
tu delft	000362920200010	4	3	0	0
leiden univ	000346055600001	1	0	0	1
tu delft	000351966600018	1	1	0	0
leiden univ	000324044100008	4	0	0	3
leiden univ	000283130700013	5	0	0	4
leiden univ	000263505900005	119	0	0	1
leiden univ	000346040500018	9	0	0	7
leiden univ	000304464200015	1	0	0	1
leiden univ	000344631600001	1	0	0	0
leiden univ	000257823800007	2	0	0	1
leiden univ	000260981800052	14	0	0	1
tu delft	000305304300014	4	3	0	0
leiden univ	000319551000042	4	0	0	3
tu delft	000277760200005	4	1	0	0
leiden univ	000411606200080	2	0	0	2
tu delft	000392554700002	12	10	0	0
leiden univ	000298566900016	4	0	0	1
leiden univ	000299033100031	5	0	0	2
leiden univ	000416245100009	1	0	0	1
tu delft	000372878500002	5	5	0	0
tu delft	000385829600015	2	1	0	0
leiden univ	000359934400002	2	0	0	1
tu delft	000347758400002	4	2	0	0
tu delft	000400878200008	3	1	0	0
leiden univ	000285186500032	7	0	0	2
leiden univ	000355573900027	11	0	0	1
tu delft	000308262300004	3	2	0	0
leiden univ	000321338400014	9	0	0	1
leiden univ	000348872400004	4	0	0	1
leiden univ	000299950300023	9	0	0	2
leiden univ	000342870200127	10	0	0	2
tu delft	000319869700019	6	6	0	0
tu delft	000391551500002	6	5	0	0
leiden univ	000356561900005	4	0	0	1
leiden univ	000269461800014	4	0	0	1
lumc	000313393500683	9	0	0	1
leiden univ	000292534500098	8	0	0	1
leiden univ	000342468700019	16	0	0	2
leiden univ	000291165400005	4	0	0	4
leiden univ	000342913500034	16	0	0	15
leiden univ	000318523600044	3	0	0	3
leiden univ	000269152800011	3	0	0	3
leiden univ	000338763600025	10	0	0	1
tu delft	000283013400003	1	1	0	0
leiden univ	000301678200012	8	0	0	8
leiden univ	000413559100020	11	0	0	6
tu delft	000296687100003	3	2	0	0
tu delft	000266048800028	4	2	0	0
leiden univ	000373357601476	3	0	0	2
leiden univ	000407532700024	3	0	0	3
tu delft	000309203500037	4	2	0	2
leiden univ	000366161500190	9	0	0	9
leiden univ	000411031200007	2	0	0	1
leiden univ	000270526500015	7	0	0	7
leiden univ	000331577100001	3	0	0	1
tu delft	000395560000009	9	1	0	0
tu delft	000390255200002	5	2	0	0
leiden univ	000268726200002	8	0	0	1
leiden univ	000400504900002	32	0	0	3
leiden univ	000367116300014	2	0	0	1
leiden univ	000292431500019	7	0	0	3
leiden univ	000389563700002	4	0	0	1
leiden univ	000273128300024	1	0	0	1
leiden univ	000408427600001	13	0	0	2
tu delft	000412036300032	4	2	0	0
tu delft	000334287900011	5	1	0	0
leiden univ	000295887000001	11	0	0	3
leiden univ	000272016300002	13	0	0	1
leiden univ	000325613200002	1	0	0	1
tu delft	000306353800002	7	1	0	0
tu delft	000311298900058	6	1	0	0
leiden univ	000299152600015	8	0	0	2
tu delft	000378965300014	5	2	0	0
tu delft	000348961200033	3	3	0	0
leiden univ	000361164200004	17	0	0	1
tu delft	000331905800011	1	1	0	0
leiden univ	000288532800012	6	0	0	6
leiden univ	000275654000008	8	0	0	1
leiden univ	000347061900005	2	1	0	1
leiden univ	000403841000002	24	0	0	0
leiden univ	000361649000015	8	0	0	8
leiden univ	000374496600465	21	0	0	2
leiden univ	000287186200005	6	0	0	6
leiden univ	000391439700002	2	0	0	0
leiden univ	000405155800005	5	0	0	1
leiden univ	000310766700458	5	0	0	2
tu delft	000261385600038	3	3	0	0
leiden univ	000291190400010	7	0	0	4
leiden univ	000402808700059	7	0	0	1
tu delft	000262897000007	3	1	0	0
tu delft	000339716100002	2	1	0	0
leiden univ	000258018800002	2	0	0	1
tu delft	000314762300006	4	1	0	0
leiden univ	000262891700001	3	0	0	2
leiden univ	000259411000499	4	0	0	4
leiden univ	000284407300009	10	0	0	5
tu delft	000252645600025	3	1	0	0
leiden univ	000208479701025	6	0	0	2
tu delft	000275680500009	3	2	0	0
lumc	000349906904208	9	0	0	8
leiden univ	000405360800056	5	0	0	4
leiden univ	000370860202447	12	0	0	1
leiden univ	000283538000007	11	0	0	11
leiden univ	000312973300013	4	0	0	3
tu delft	000254665700001	4	1	0	0
leiden univ	000252446900005	6	0	0	1
tu delft	000413629000033	7	3	0	2
leiden univ	000336423200014	3	0	1	2
leiden univ	000407490900012	10	0	0	1
leiden univ	000271133600001	3	0	0	1
tu delft	000298477300004	6	1	0	0
tu delft	000338392600007	2	2	0	0
leiden univ	000263164700006	12	0	0	2
tu delft	000207869500001	2	2	0	0
tu delft	000340838300014	4	1	0	0
leiden univ	000393937000008	16	0	0	1
leiden univ	000326274600072	2	0	0	2
tu delft	000385902000010	6	5	0	0
leiden univ	000269392801049	7	0	0	5
tu delft	000286343000029	2	1	0	0
leiden univ	000267648300010	1	0	0	1
tu delft	000253400900048	5	2	0	0
leiden univ	000269244500027	9	0	0	1
tu delft	000363753800005	2	2	0	0
tu delft	000267516800019	3	3	0	0
tu delft	000279588500002	2	2	0	0
leiden univ	000356674000027	8	0	0	1
leiden univ	000297621500358	5	0	0	1
leiden univ	000329285300001	5	0	0	1
leiden univ	000309748306089	5	0	0	1
tu delft	000412035200002	3	1	0	0
leiden univ	000208539400491	4	0	0	1
leiden univ	000414202500029	19	0	0	1
leiden univ	000264196000004	21	0	0	1
leiden univ	000299351100004	56	0	0	1
tu delft	000285335800006	8	5	0	0
tu delft	000313130100002	3	3	0	0
leiden univ	000416406201413	5	2	0	2
tu delft	000407098400002	4	0	0	0
tu delft	000300706500012	10	4	0	0
tu delft	000252718800013	4	3	0	0
tu delft	000278813800010	3	1	0	0
tu delft	000299799800003	4	4	0	0
leiden univ	000340239200011	1	0	0	1
tu delft	000271561100016	3	3	0	0
leiden univ	000295210900008	9	0	0	3
tu delft	000283941401783	3	1	0	0
leiden univ	000273578600023	5	0	0	1
leiden univ	000356751800006	6	0	0	2
leiden univ	000365544900008	4	0	0	2
leiden univ	000295013400010	2	0	0	1
leiden univ	000269262400672	11	0	0	11
leiden univ	000297041000004	4	0	0	4
tu delft	000354559400014	9	2	0	3
tu delft	000371435000066	5	4	0	0
tu delft	000273895300012	6	3	0	0
leiden univ	000294251300006	2	0	0	1
leiden univ	000304186800006	6	0	0	1
leiden univ	000406862400141	9	0	0	3
leiden univ	000362306100007	4	0	0	4
lumc	000270645900622	5	0	0	2
tu delft	000352316700013	1	1	0	0
leiden univ	000259510000010	8	0	0	2
tu delft	000263545300002	2	2	0	0
leiden univ	000384772800033	4	0	0	3
leiden univ	000402720300006	25	0	0	1
leiden univ	000207919200021	1	0	0	1
leiden univ	000257551100217	3	0	0	3
leiden univ	000262371501564	6	0	0	4
tu delft	000360910100002	5	1	0	0
leiden univ	000297621500323	7	0	0	3
tu delft	000317817200037	3	2	0	0
tu delft	000263203500009	2	2	0	0
tu delft	000317663300002	2	2	0	0
tu delft	000379667800051	4	1	0	0
leiden univ	000319539900008	1	0	0	1
tu delft	000273457500004	3	3	0	0
leiden univ	000412089800802	21	0	0	1
leiden univ	000410786300020	2	0	0	1
leiden univ	000271781400048	3	0	0	3
leiden univ	000335405200009	25	0	0	1
leiden univ	000257917300009	4	0	0	3
leiden univ	000403205400006	8	0	0	3
leiden univ	000296667600018	7	0	0	7
tu delft	000368688800007	3	3	0	0
leiden univ	000330627500009	8	0	0	3
leiden univ	000382296300022	11	0	0	7
leiden univ	000312495700002	6	0	0	4
lumc	000319758900018	7	0	0	1
leiden univ	000300596000040	1	0	0	1
leiden univ	000418160100027	1	0	0	1
leiden univ	000373357600005	15	0	0	2
leiden univ	000334312900028	6	0	0	1
tu delft	000275563200001	5	1	0	0
leiden univ	000339662000006	7	0	0	2
leiden univ	000283839100011	8	0	0	8
leiden univ	000367258500022	14	0	0	2
leiden univ	000342926000209	7	0	0	2
leiden univ	000306597200066	93	0	0	5
lumc	000331587903521	5	0	0	3
