Source;Target;Weight
31115205;1482327;1
32206878;1482327;3
34961050;1482327;2
35447788;1482327;1
37614986;1482327;1
50750644;1482327;1
29455135;1518380;1
47345462;1518380;1
3673812;1585800;1
6604442;1585800;1
8907379;1585800;1
12218554;1585800;11
18425884;1585800;1
19109659;1585800;1
23786695;1585800;1
25561184;1585800;1
32855047;1585800;1
32998517;1585800;1
36806937;1585800;1
39395669;1585800;1
40309482;1585800;1
44726812;1585800;1
48992437;1585800;2
49599832;1585800;9
50088835;1585800;1
50974284;1585800;1
51064413;1585800;1
15441012;1585803;1
17617877;1585803;1
1018193;1594422;5
16037079;1594422;2
32862416;1594422;5
34261795;1594422;6
36329204;1594422;1
45996521;1594422;1
4806960;1615814;1
34261795;1615814;1
44000339;1615814;1
47372727;1615814;1
1697119;1616947;1
8221081;1616947;1
9470051;1616947;1
11203609;1616947;1
23786074;1616947;1
25207373;1616947;2
28750108;1616947;5
29915596;1616947;1
35265378;1616947;1
3016767;1631806;1
12805046;1631806;1
13092871;1631806;1
13580766;1631806;1
40844955;1631806;8
45329493;1631806;2
22421288;1666799;1
33869217;1666799;4
41034372;1666799;1
42495214;1666799;4
1616947;1697119;1
3456627;1697119;1
23786074;1697119;5
25207373;1697119;1
28750108;1697119;1
33869217;1697119;1
35265378;1697119;2
15441012;1706769;1
17617877;1706769;1
20908426;1706769;1
21057630;1706769;1
23286958;1706769;1
37269777;1706769;1
37445927;1706769;1
43942360;1706769;1
50045396;1706769;1
3590071;1720234;1
3904602;1720234;1
47207948;1720234;1
2438798;1720906;1
24515495;1720906;2
27227520;1720906;2
28721558;1720906;1
36530654;1720906;1
39669368;1720906;1
43835030;1720906;2
12093861;1730948;3
24617045;1730948;1
33448946;1730948;1
36029432;1730948;2
47203945;1730948;2
910162;1733431;1
2244778;1733431;1
3686311;1733431;1
4646806;1733431;1
8791130;1733431;3
8924753;1733431;1
9518800;1733431;1
10603381;1733431;1
12627580;1733431;1
14431331;1733431;1
14514703;1733431;2
17583861;1733431;8
19232354;1733431;5
21120158;1733431;5
22914880;1733431;6
23438420;1733431;1
31603797;1733431;1
31606152;1733431;1
31607422;1733431;1
31610608;1733431;1
31610988;1733431;1
31612726;1733431;1
31613282;1733431;1
31614741;1733431;1
31617295;1733431;1
31621026;1733431;1
35663540;1733431;7
38542640;1733431;1
38965576;1733431;7
41277163;1733431;3
43166509;1733431;1
43253630;1733431;1
44250925;1733431;2
44376935;1733431;1
45893238;1733431;3
46251408;1733431;1
47266482;1733431;1
18506345;1744263;1
19274051;1744263;1
25546397;1744263;1
18882533;1756904;1
25872301;1756904;1
48078479;1756904;1
1355043;1825735;1
5724315;1825735;1
7736103;1825735;15
9008637;1825735;1
9593453;1825735;1
10298342;1825735;4
11951239;1825735;2
12057260;1825735;3
12093861;1825735;1
12812842;1825735;1
14825159;1825735;1
16149536;1825735;2
16916524;1825735;1
17223335;1825735;1
17617877;1825735;2
18320830;1825735;3
25782104;1825735;1
25933430;1825735;3
26380419;1825735;1
27465405;1825735;1
33279667;1825735;3
33375797;1825735;1
35123017;1825735;3
36154222;1825735;1
37269777;1825735;1
37937585;1825735;1
39447570;1825735;4
40694227;1825735;1
41386096;1825735;1
41422497;1825735;1
41725772;1825735;2
50381558;1825735;1
5556371;1849924;1
6604442;1849924;1
24595054;1849924;2
45742663;1849924;1
46539059;1849924;1
50974284;1849924;2
32602807;1869667;1
33537946;1869667;1
5790897;1921228;1
6610967;1921228;1
37764614;1921228;1
44762013;1921228;1
19163996;1928566;1
25546397;1928566;1
39083811;1928566;1
51064413;1928566;1
841805;2081803;1
1226918;2081803;1
6226924;2081803;3
6610967;2081803;4
13254282;2081803;1
20923594;2081803;1
21831766;2081803;2
25833837;2081803;1
37764614;2081803;4
38542640;2081803;1
41165826;2081803;2
42502038;2081803;1
7519061;2152514;1
8627480;2152514;1
11618846;2152514;1
12093861;2152514;3
50381558;2152514;1
963273;2165430;2
2710084;2165430;3
3267876;2165430;1
5816565;2165430;2
7447950;2165430;2
8816088;2165430;1
9895823;2165430;2
12857941;2165430;1
18087508;2165430;6
18475174;2165430;5
22427217;2165430;2
23672263;2165430;1
23750947;2165430;1
25283580;2165430;1
25501410;2165430;16
26782385;2165430;1
28213192;2165430;3
33107080;2165430;2
33484425;2165430;1
34514834;2165430;1
35553744;2165430;1
36153282;2165430;2
37479634;2165430;1
38276261;2165430;1
38625610;2165430;1
40844955;2165430;1
42423580;2165430;4
43305694;2165430;1
43389764;2165430;1
43580030;2165430;1
44874393;2165430;3
49599930;2165430;1
15551588;2170858;1
17617877;2170858;1
51495321;2170858;1
1733431;2244778;1
10603381;2244778;1
14514703;2244778;1
45893238;2244778;2
2893500;2255590;2
8627480;2255590;1
9457601;2255590;1
11560023;2255590;1
12093861;2255590;4
13448257;2255590;1
24033147;2255590;1
27321264;2255590;2
33408966;2255590;1
40821843;2255590;1
42411378;2255590;2
43595646;2255590;1
7614442;2263654;5
17476170;2263654;1
31452447;2263654;1
29227771;2266146;1
47266482;2266146;1
20807267;2267962;1
386506;2306293;3
963273;2306293;5
7569153;2306293;4
25501410;2306293;2
28213192;2306293;15
37359778;2306293;2
37479634;2306293;1
38625610;2306293;2
44874393;2306293;1
45580398;2306293;1
46035716;2306293;3
4193961;2316055;1
5790897;2328114;2
6101316;2328114;2
6268583;2328114;6
6610967;2328114;5
9184644;2328114;1
11599363;2328114;1
14670462;2328114;1
14884860;2328114;2
15906568;2328114;1
18940863;2328114;1
20890809;2328114;1
21441163;2328114;1
21831766;2328114;1
23247054;2328114;1
25098979;2328114;1
37764614;2328114;6
39392958;2328114;1
42044734;2328114;1
44820744;2328114;1
44911194;2328114;1
48028407;2328114;1
50045396;2328114;1
50196631;2328114;2
51265861;2328114;1
1261729;2334600;1
19149693;2334600;4
20807267;2334600;1
22281969;2334600;1
23576295;2334600;1
28954952;2334600;1
29222799;2334600;1
39688278;2334600;1
49388338;2334600;1
10326226;2357390;3
16939257;2357390;1
31824786;2357390;3
31824786;2375305;1
1720906;2438798;1
8444542;2438798;1
10101194;2438798;1
11203609;2438798;1
18162673;2438798;1
24515495;2438798;1
28721558;2438798;1
