Source;Target;Weight
31946174;24245023;4
26437003;48518019;2
31514793;15266967;1
20986495;34544078;2
15019764;46561346;4
9502031;4012818;1
23822059;39446092;1
25461999;45950938;4
30690697;50776248;1
37087594;21441163;1
41141625;15951728;3
2339902;5882805;4
8086393;7537354;1
21006217;36478398;9
23597709;31994145;4
28097212;42456308;5
26385723;15448531;1
32593855;692279;1
25565791;20746167;4
12788815;51142736;1
49897406;37919946;1
31025735;15865233;1
50739382;43205514;1
24033147;24547645;1
49918576;14694578;1
34340850;43212691;1
19232071;21006217;1
31045635;22546615;1
16235247;14362968;4
4191997;12305327;2
45459758;10876639;1
37156188;49996547;1
2546549;3589232;1
21441163;47551016;2
33269801;17511724;2
49724834;19028818;2
2967044;7441936;9
46590478;18247575;2
6178918;17530402;2
22332736;19936939;2
31964710;37197757;1
36860594;20811717;1
38048642;41589984;1
20767999;28110335;1
27159599;50332126;1
30582792;42252901;1
35425351;6162308;3
24134251;12950384;1
2896946;1954816;1
6687511;3565481;1
26834434;14099854;1
3124703;44271419;5
28663960;11517870;1
1107916;42307186;1
30498600;46893177;3
27158329;29439087;4
14088581;4109964;1
39139244;23371800;1
9936841;7819122;2
121258;4089004;4
6275652;44175185;1
43038063;18198052;1
19266332;2684696;1
33098652;11937513;1
48947405;26873746;3
26734300;40227358;1
3354824;10129136;1
30994722;3515137;1
51131230;22240341;4
12542346;11154871;1
12307561;40986540;1
37018704;2545709;5
2257755;22169156;3
21627177;16617965;3
18695174;46604332;1
48053240;7598976;2
23314025;3539920;1
18907879;38459745;1
48754954;17227940;1
32453471;28724479;10
16324336;11679495;2
1016520;42778726;1
40381008;46207845;4
16316008;47417886;1
49353265;43657733;1
45484386;15276222;1
32280449;40636662;1
36579164;40575458;1
43073857;28533069;1
5553532;22414467;2
10049469;45459758;2
2264662;46026289;2
45287658;21885093;2
26982418;46142111;4
14255654;31036919;1
24532151;41180893;1
39084618;19331065;1
33594433;29554569;1
40382204;15407434;1
20358155;31526791;1
49353265;20842666;1
51588906;20811717;1
42526951;45484386;2
42526951;9753734;1
7985249;3242995;1
14858425;42057362;1
459822;28524566;2
13772190;21951640;2
29371586;44796735;3
31122484;1425906;2
51219674;23835126;5
36871407;29141697;1
28986809;18522156;1
1689535;24068222;1
12986270;10902238;1
50401299;28956818;10
5156912;38666293;2
36417347;23422162;3
26116627;9278044;1
13130139;14787776;1
49027674;33617937;1
16010935;18905971;1
28136210;23871195;1
32312991;3354824;6
19028818;35104786;2
44208137;48237625;1
43300186;27649332;1
30035541;42843127;1
40779861;9273026;1
30210161;5553532;1
20787967;44024968;2
38110500;14610533;1
12812538;50452102;1
263825;12453180;1
41443963;18264244;1
8160015;6100199;1
15426150;3354824;6
34142455;1275304;1
6915833;20059659;2
3124703;14214276;1
4925253;27033442;1
25639487;50103052;3
1643072;45441978;1
631520;21006217;1
29132078;29952180;1
20424132;49817952;1
4446131;47376431;2
26478372;29258989;13
15104365;49092596;1
3533087;29258989;1
18533773;7444091;8
17709977;7159538;1
32138944;17672705;1
44874358;42849809;1
40794487;51319717;1
7431975;12147131;1
13959787;34738296;3
12542346;18808891;4
39584476;23868851;1
15865233;9183499;3
13067624;29741518;2
33575380;37459221;3
41556528;32266644;3
15301456;12040806;1
1538158;46261623;22
4938505;13906263;2
13945493;12489098;1
15641634;40659325;1
1727534;43052522;1
49897406;31633497;1
13726863;1050773;1
47491586;3907462;3
29954866;22912771;1
21006217;46846432;2
10123112;34544080;1
47288414;42435515;1
45436049;18892156;1
29554569;12310502;2
44188206;33162136;1
17830245;48561318;1
25279919;23896525;1
3533087;29228000;8
36033207;42843127;4
9451296;50848372;2
22240341;28319265;1
46141208;43339743;1
1214397;42134564;5
48541772;28182205;1
48794611;15674128;1
47537725;26281874;1
26161660;48674273;16
33594433;37541309;1
43995527;10251034;1
51233690;21831766;1
39560113;39589644;1
33572354;15219803;2
14435417;12986270;17
3539920;27768784;1
51202507;17169857;1
38632185;17755294;1
7190742;44490947;1
2748878;38769181;3
34711546;23784778;5
41039216;30238407;2
50425191;7920783;1
20843109;3124703;4
50922292;11646999;1
32931542;24135871;1
47434639;456922;2
30539968;32753811;2
12627579;13653479;1
34742877;3821091;1
9436715;650714;2
25803749;42243733;1
34484584;37027646;1
37289057;31279941;1
14858425;11517870;1
26437003;26422200;1
35262390;19936939;1
25279919;42702344;3
45436049;39539491;1
40795632;37887580;1
36831029;19857381;1
48150487;30255467;1
46065677;16736065;3
25212843;2763827;1
46683423;28740614;1
20811717;33229936;6
5365865;45910571;1
10646799;6731495;1
28863036;30690697;1
11139556;22818074;2
46262641;17627569;3
34067216;488777;1
45951065;24007975;1
9451296;47491586;1
16070144;45287658;1
40152870;46546222;3
27378035;17149726;8
16444513;8372999;1
39873237;37568332;1
10904078;21425972;1
17434944;40547908;1
43825902;23260266;1
48952598;23974950;1
31480180;26158039;1
36040576;4746462;1
736031;8892499;1
3539920;10251034;1
43676528;35425351;2
27394991;31122484;2
45866247;36719395;2
18831054;17158296;1
8446042;17227940;1
48561318;25639487;18
4809373;48987074;1
27852984;11053747;1
42057362;29451334;1
26478372;29228000;3
38632185;18681426;2
39668879;22414467;1
37756862;23504792;1
28742823;6218962;1
13683204;50974284;2
16790460;35425351;16
21441163;42044734;6
17115721;47207948;1
10123112;24959602;1
34788440;43301361;1
42778726;34452633;1
37573284;25459422;1
42454240;25346656;1
14922585;38599204;1
44762013;12339664;2
12663246;51504167;1
39712563;19164304;1
44329511;8446042;1
31268155;47860324;1
21973601;45716952;2
19905863;37197757;28
40572800;7441936;1
36704736;7480887;1
47938821;41821956;1
44863413;33814000;1
17352649;10160468;2
305242;35378014;4
19936939;45764666;2
46604332;27673696;2
25565791;33594433;1
988707;2947201;1
3122411;650714;1
30062946;24446860;1
33814000;24030079;1
39873237;51135417;1
32033528;1825735;1
27252312;15360051;2
44799814;37077907;2
14105038;20907438;1
45166511;47372771;1
17149726;17827953;1
44943265;47095043;4
41658509;31676112;1
28319265;20726496;1
29228000;19936939;1
49771227;21006217;1
33104565;27965054;1
50457227;41141625;1
6322528;43702766;1
7431404;30658073;1
28645103;40151615;1
25924247;42599381;1
12416968;41107287;1
31675815;42849809;1
8745257;24478957;2
7182219;25219991;2
40148210;34327473;1
33405184;7235459;1
5913187;39489495;1
22546615;50975566;1
8546343;32504134;1
27297501;19864360;1
8459963;3354824;1
25645310;3061851;1
29267474;17074802;1
36587333;46580721;1
51010462;9858088;1
33405184;17716823;1
48237625;13295835;3
13042918;33104565;1
22891105;37077907;4
17897297;2986890;1
5232204;27721570;6
15617329;30611508;1
42561807;50380223;2
1231742;13723604;1
15865233;41042252;1
35312034;44557120;1
41381100;28056623;1
15973271;11139556;2
35425351;33378948;1
27408986;50851901;1
39873237;30064880;1
30107259;41871519;1
1538158;15360051;1
37764614;7242136;1
22556117;4075782;1
25795561;13926289;5
6184979;3358552;5
1276908;28111449;3
43511360;8768666;2
30098681;24032803;1
23782627;18169484;1
19529628;4636103;3
44704285;47308381;1
10251034;3539920;1
21311267;20995530;2
3284962;14730352;1
26478372;18506479;1
38772281;34642601;3
18475178;27130209;1
36579043;14781686;1
43332337;15019764;9
18247575;25795561;3
39668879;35311967;1
10538520;6162308;1
41545866;48056700;3
10693751;39016427;1
14088581;26437003;1
15091030;1689535;13
25437079;17535115;1
46142111;21131548;1
18907879;48428573;1
35589413;42307186;23
13805210;4799349;1
5342480;3785792;3
19303875;3941885;1
44790827;39545072;2
48428573;40689104;1
16715108;14984111;1
7487903;46498386;1
7480887;2517397;7
24686910;8343198;12
51275725;41761670;1
21627177;10538520;5
34265171;11661398;1
13875145;18506479;3
4248013;39510177;1
27854432;48084264;1
18151967;38992820;1
50227168;39628583;1
15735159;696942;1
30462806;27081596;1
39495652;41165826;1
30107259;39938754;1
39016427;36518715;1
37353801;4512419;3
1676133;31274435;1
24508208;19217694;1
3941885;26784821;1
32931542;9930293;1
22156689;23260266;1
35550131;19681853;4
11454683;19164304;6
1427902;40864221;1
23604780;33083990;2
25219991;25683822;2
20059659;44876736;6
1849932;11154871;1
34247447;4799928;3
1233121;39567254;1
25575912;15104365;1
12750509;14949847;5
24033147;27321264;2
29451334;11462357;1
4636103;23074328;1
32356697;28000284;1
41556528;45716952;23
21012200;46408351;2
5553532;39788;1
26385723;30959865;2
11750850;47488719;1
40148210;40929931;1
47470066;14689347;1
2532878;41821956;1
4075782;30030434;1
40864221;38050565;6
30111193;4799928;1
20341905;13226080;1
1538158;32453471;9
2225505;45931171;1
