Source;Target;Weight
40328665;1191122;6
43760300;1191122;1
45740143;1191122;2
46231629;1191122;1
49391538;1191122;1
3562239;1191409;10
6759007;1191409;8
8004926;1191409;1
17276849;1191409;7
35221942;1191409;1
43096790;1191409;2
2581730;1204813;5
6510130;1204813;1
22757535;1204813;1
27471956;1204813;1
47680999;1204813;1
48131432;1204813;1
12679787;1211920;2
28265695;1211920;1
1038258;1216282;1
1354469;1216282;1
7283170;1216282;1
2260066;1219217;1
4649772;1219217;10
8969471;1219217;10
20025657;1219217;5
36748373;1219217;1
6039542;1233737;1
7215578;1233737;1
14893743;1233737;1
14941681;1233737;1
21705867;1233737;1
24056494;1233737;1
28162725;1233737;1
28663263;1233737;1
30430056;1233737;1
36342792;1233737;1
44477644;1233737;1
46986275;1233737;1
47257346;1233737;1
203305;1258636;1
7416283;1258636;1
11961286;1258636;1
22214336;1258636;1
33892282;1258636;2
34135057;1258636;1
51379989;1258636;1
9056610;1274679;1
9258058;1274679;1
17372070;1274679;1
18124705;1274679;2
20858566;1274679;1
41847961;1274679;1
51565162;1274679;1
6111285;1286537;1
7553648;1286537;1
28509281;1286537;1
41041437;1286537;1
47812470;1286537;1
4494364;1286829;1
12528000;1286829;1
35934788;1286829;3
42124777;1286829;2
6911773;1286845;1
7504402;1286845;1
41041437;1286845;1
42216371;1287015;1
30499797;1295703;1
30819069;1295703;3
4670861;1298479;1
6557623;1298479;11
30891085;1298479;6
37508293;1298479;1
44041260;1298479;1
48407053;1298479;1
50946330;1298479;10
23555244;1299929;1
31246600;1299929;1
2316270;1299973;1
3117686;1300341;1
30499797;1300341;1
30819069;1300341;1
32462507;1300341;1
34714348;1300341;1
48084433;1300341;1
14154841;1317684;1
40046964;1317684;1
42145248;1317684;1
4024836;1354337;1
14966817;1354337;1
16138592;1354337;1
17619703;1354337;1
21880294;1354337;1
30512134;1354337;1
47838292;1354337;2
1038258;1354469;1
1216282;1354469;1
7283170;1354469;1
963027;1364051;2
1487246;1364051;1
4649772;1364051;1
7975221;1364051;1
8768669;1364051;1
9659883;1364051;1
13299312;1364051;1
32453200;1364051;1
41343788;1364051;1
41829015;1364051;2
42037226;1364051;2
45138878;1364051;7
51565162;1364051;1
980459;1368738;1
5542836;1368738;1
7939396;1368738;1
13022444;1368738;1
13110830;1368738;1
13469816;1368738;1
16433748;1368738;2
16651075;1368738;1
17614638;1368738;1
21558751;1368738;3
23485291;1368738;1
33488423;1368738;1
49928665;1368738;2
50001380;1368738;1
176533;1392426;1
12892815;1392426;1
25380980;1392426;1
16105318;1403081;1
21880294;1403081;1
42592946;1403081;1
14704225;1404556;1
18857164;1404556;2
24445381;1404556;2
28048989;1404556;1
35947027;1404556;1
42016773;1404556;2
33108070;1406741;1
478443;1407326;1
640532;1407326;3
1739738;1407326;1
2427758;1407326;7
3449323;1407326;8
7637451;1407326;1
8237590;1407326;1
10259713;1407326;1
