to	from	weight
31259881	42284409	1
44716739	8229927	1
30225958	26985784	4
36342792	28663263	1
28100213	10368247	1
17150952	3172327	1
35668572	50472580	1
33386121	12442730	2
17247711	8701176	1
41205471	49737683	1
34468936	11801949	3
13684250	41679036	2
12969229	29360908	1
19927677	25735692	12
28181413	27182684	5
2003322	20742911	1
36051981	45744849	1
5010167	33068748	2
32548567	20859835	1
25979463	35461633	4
1407326	50514123	4
40553485	17105782	1
16100259	38104459	1
42850748	50469310	1
15283582	8985990	1
18733473	22849223	6
8395578	48575466	1
33010639	21013567	1
5926274	47399682	1
38019649	15217753	1
8481075	30037924	5
17614638	44031311	1
1407326	640532	3
20740575	40687804	2
6722368	44749603	1
26721252	39132219	1
41436222	44316746	1
8014871	33013189	2
11801949	29501066	1
41404379	31643744	1
14966817	45384564	1
33009237	43912302	1
44477644	23837783	1
26321118	32557711	1
47882257	41041437	4
43353706	43848023	1
25607061	8924600	3
32848718	21558751	6
22807793	43915114	1
24809956	35165814	1
42123022	23034905	1
1053906	29359255	20
51085575	46268944	10
22662209	4615099	1
40511601	19106696	1
23289778	3439113	2
41068682	34245232	1
48377881	30001006	1
27125390	42396644	1
18387304	8634446	1
24697037	46440235	1
8501511	5790895	12
24209661	39988957	4
51238519	1087127	1
31228324	5790895	3
45717029	30084098	2
35155704	35278035	3
764831	29112941	1
4046542	50373155	1
4708143	26557841	2
2581730	49434220	1
3836367	38256005	1
22340696	15641660	1
29332810	13364635	1
6371474	3099406	1
31588215	2543775	1
46098685	35488289	1
32530377	4024836	1
26985784	45507273	1
6033905	7097612	1
24697037	36696923	16
20894082	24575966	1
9798502	49910917	1
27810395	3588712	7
49391538	1623274	1
12545595	14627814	5
26287660	47948193	1
30773422	43095785	4
42085507	21427385	1
4842134	20812664	1
15902932	45323422	2
46539562	13658309	2
25375363	31017198	1
41139446	33300591	1
9185378	48015738	7
8324432	2660017	1
33800547	31478892	1
5324682	32159707	1
41041437	3410832	5
11131349	30084098	2
20510754	22474182	1
2744727	15217753	1
39331732	45862041	1
32394972	28486158	2
29191677	31588215	1
12691945	44525675	1
35165814	24809956	1
24775803	32686886	1
31484037	51085575	14
22820488	13935331	4
9155250	40636316	4
25273410	19106696	2
21204089	43715108	1
30109504	1352538	1
29241786	19293262	2
28190635	23014949	1
46913894	17272520	4
47282207	44041213	5
11972142	14434655	1
21880294	41242951	2
37773920	27341417	4
28020639	6732714	1
14765894	25152503	1
50271527	43933885	2
25579771	47401510	2
552304	37116319	4
45331538	14021096	1
29202890	7649896	1
7969033	34646023	5
21131740	15141762	3
35278035	16629963	1
35954977	4508960	1
13469816	40123238	1
43662050	42233430	6
15193316	35665306	2
15347195	40525687	2
44068159	15856002	2
35073232	19145610	1
49425624	47583753	1
32897520	21577092	1
45572174	50081027	1
32762861	15236639	1
14161668	21894977	1
17149353	14966817	1
44776547	33072551	1
5641040	49883374	1
37551828	8025403	1
39083963	29475516	1
49741993	28115762	1
8014871	43353706	9
36342792	7215578	1
38401264	48843624	1
8161510	45889593	1
